Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-06-13,5,175.00,70000.00,400.00,400.00,400.00
2010-06-23,5,75.00,29625.00,395.00,395.00,395.00
2010-06-29,13,455.00,182000.00,400.00,400.00,400.00
2010-06-30,1,34.00,13328.00,392.00,392.00,392.00
2010-07-01,1,35.00,13720.00,392.00,392.00,392.00
2010-07-04,7,245.00,96670.00,395.00,392.00,395.00
2010-07-19,2,144.00,56740.00,395.00,388.00,395.00
2010-08-01,1,35.00,14070.00,402.00,402.00,402.00
2010-08-03,2,183.00,75030.00,410.00,410.00,410.00
2010-08-05,2,75.00,30750.00,410.00,410.00,410.00
2010-08-08,8,251.00,104165.00,415.00,415.00,415.00
2010-08-10,10,473.00,191316.00,407.00,400.00,405.00
2010-08-11,25,629.00,254425.00,405.00,400.00,400.00
2010-08-17,1,500.00,200000.00,400.00,400.00,400.00
2010-08-19,2,114.00,45030.00,395.00,395.00,395.00
2010-08-22,1,33.00,12870.00,390.00,390.00,390.00
2010-08-30,2,300.00,115500.00,385.00,385.00,385.00
2010-09-12,2,377.00,143260.00,380.00,380.00,380.00
2010-09-14,6,1016.00,372066.00,373.00,356.00,356.00
2010-09-15,1,200.00,70000.00,350.00,350.00,350.00
2010-09-16,1,300.00,103500.00,345.00,345.00,345.00
2010-09-26,1,58.00,20010.00,345.00,345.00,345.00
2010-09-28,1,35.00,11865.00,339.00,339.00,339.00
2010-09-30,1,35.00,11865.00,339.00,339.00,339.00
2010-10-03,8,1191.00,385863.00,333.00,315.00,315.00
2010-10-21,1,70.00,22050.00,315.00,315.00,315.00
2010-10-26,1,150.00,46650.00,311.00,311.00,311.00
2010-11-02,13,760.00,240280.00,317.00,315.00,315.00
2010-11-03,2,150.00,47000.00,315.00,310.00,310.00
2010-11-09,1,162.00,50544.00,312.00,312.00,312.00
2010-11-10,7,525.00,163625.00,312.00,311.00,312.00
2010-11-14,1,35.00,11095.00,317.00,317.00,317.00
2010-11-15,1,32.00,10112.00,316.00,316.00,316.00
2010-11-21,2,98.00,31360.00,320.00,320.00,320.00
2010-11-24,2,179.00,56241.00,315.00,314.00,315.00
2010-11-25,4,140.00,43610.00,313.00,311.00,313.00
2010-11-28,2,70.00,21315.00,307.00,302.00,302.00
2010-12-01,49,1750.00,548660.00,320.00,308.00,320.00
2010-12-14,15,525.00,168000.00,320.00,320.00,320.00
2010-12-15,15,525.00,168000.00,320.00,320.00,320.00
2010-12-19,10,350.00,111615.00,319.00,318.00,318.00
2010-12-20,14,470.00,150310.00,320.00,314.00,314.00
2010-12-22,26,1785.00,551775.00,315.00,309.00,309.00
2010-12-26,15,505.00,156915.00,311.00,310.00,311.00
2011-01-05,1,100.00,30500.00,305.00,305.00,305.00
2011-01-09,29,1113.00,339332.00,305.00,304.00,304.00
2011-01-10,1,35.00,10500.00,300.00,300.00,300.00
2011-01-11,3,120.00,35210.00,295.00,290.00,290.00
2011-01-12,3,105.00,29400.00,285.00,275.00,275.00
2011-01-13,4,133.00,36071.00,273.00,270.00,273.00
2011-01-17,11,395.00,108560.00,275.00,274.00,275.00
2011-01-18,16,560.00,154350.00,280.00,275.00,280.00
2011-01-19,5,175.00,47530.00,275.00,270.00,272.00
2011-02-08,3,1353.00,212511.00,160.00,157.00,157.00
2011-02-09,1,532.00,107996.00,203.00,203.00,203.00
2011-02-10,3,1557.00,312802.00,207.00,200.00,200.00
