Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2010-11-30,6,60.00,18780.00,328.00,298.00,298.00
2010-12-01,6,60.00,16830.00,293.00,268.00,268.00
2010-12-02,3,30.00,7740.00,263.00,253.00,253.00
2010-12-05,6,60.00,14280.00,248.00,228.00,228.00
2010-12-06,6,60.00,12860.00,224.00,206.00,206.00
2010-12-07,6,60.00,11620.00,202.00,186.00,186.00
2010-12-08,92,1580.00,265890.00,183.00,168.00,168.00
2010-12-09,164,2650.00,423420.00,166.00,155.00,158.00
2010-12-12,131,2260.00,343390.00,158.00,147.00,151.00
2010-12-13,53,1030.00,158020.00,158.00,152.00,158.00
2010-12-14,103,1480.00,233820.00,162.00,156.00,158.00
2010-12-15,59,1120.00,175690.00,161.00,155.00,159.00
2010-12-16,38,610.00,95660.00,158.00,155.00,158.00
2010-12-19,93,1340.00,202480.00,156.00,148.00,151.00
2010-12-20,34,450.00,67930.00,153.00,148.00,150.00
2010-12-22,35,390.00,58950.00,155.00,145.00,155.00
2010-12-23,45,620.00,94440.00,154.00,150.00,154.00
2010-12-26,14,260.00,41180.00,160.00,157.00,160.00
2010-12-27,80,1320.00,208340.00,160.00,156.00,156.00
2010-12-28,66,950.00,149580.00,159.00,156.00,156.00
2010-12-29,162,2460.00,384700.00,159.00,153.00,154.00
2011-01-02,98,1610.00,251870.00,158.00,154.00,154.00
2011-01-03,100,1680.00,259610.00,156.00,152.00,154.00
2011-01-04,94,1340.00,211000.00,160.00,153.00,157.00
2011-01-05,178,3040.00,480060.00,161.00,154.00,161.00
2011-01-06,46,1010.00,160890.00,160.00,156.00,158.00
2011-01-09,160,2370.00,386210.00,165.00,158.00,165.00
2011-01-10,143,1830.00,305320.00,168.00,165.00,168.00
2011-01-11,126,2580.00,418170.00,165.00,160.00,162.00
2011-01-12,93,1780.00,285780.00,162.00,159.00,160.00
2011-01-13,140,2100.00,333390.00,160.00,157.00,157.00
2011-01-16,89,1770.00,284880.00,164.00,156.00,161.00
2011-01-17,36,550.00,87840.00,163.00,158.00,159.00
2011-01-18,325,4220.00,691340.00,167.00,159.00,161.00
2011-01-19,108,1610.00,257850.00,162.00,159.00,161.00
2011-01-20,65,740.00,118990.00,165.00,158.00,162.00
2011-01-23,130,1510.00,244790.00,165.00,161.00,162.00
2011-01-24,234,2640.00,430590.00,168.00,159.00,163.00
2011-01-31,38,1480.00,238240.00,163.00,160.00,162.00
2011-02-01,148,2130.00,349130.00,167.00,160.00,162.00
2011-02-02,12,160.00,26190.00,164.00,161.00,161.00
2011-02-03,11,230.00,36990.00,161.00,160.00,160.00
2011-02-06,22,610.00,89180.00,157.00,144.00,146.00
2011-02-07,46,860.00,130540.00,153.00,148.00,149.00
2011-02-08,17,190.00,27670.00,147.00,145.00,147.00
2011-02-09,30,460.00,67750.00,149.00,145.00,149.00
2011-02-10,4,40.00,6020.00,152.00,150.00,152.00
2011-02-13,12,260.00,38010.00,152.00,145.00,145.00
2011-02-14,26,360.00,51750.00,147.00,141.00,143.00
2011-02-15,81,850.00,125840.00,150.00,144.00,145.00
2011-02-16,21,320.00,45790.00,144.00,142.00,142.00
2011-02-17,16,260.00,37050.00,144.00,142.00,142.00
2011-02-20,215,4000.00,579130.00,146.00,144.00,146.00
2011-02-21,14,220.00,32400.00,148.00,147.00,147.00
2011-02-23,40,600.00,87850.00,148.00,145.00,148.00
2011-02-27,207,2340.00,333040.00,146.00,138.00,138.00
2011-02-28,11,150.00,20240.00,136.00,133.00,133.00
2011-03-01,82,1120.00,147140.00,133.00,128.00,130.00
2011-03-03,142,1780.00,229770.00,130.00,126.00,130.00
2011-03-07,154,1540.00,203060.00,132.00,130.00,132.00
2011-03-09,95,1420.00,181910.00,132.00,124.00,126.00
2011-03-10,51,800.00,99200.00,126.00,122.00,124.00
2011-03-13,47,1160.00,140220.00,124.00,118.00,118.00
2011-03-14,22,240.00,27920.00,119.00,115.00,115.00
2011-03-15,46,550.00,63270.00,116.00,112.00,113.00
2011-03-16,27,550.00,61590.00,113.00,111.00,111.00
2011-03-17,34,350.00,39350.00,116.00,109.00,114.00
2011-03-20,71,810.00,92090.00,114.00,111.00,112.00
2011-03-21,84,1190.00,135620.00,116.00,111.00,111.00
2011-03-22,38,440.00,49510.00,114.00,111.00,112.00
2011-03-23,40,450.00,53000.00,119.00,114.00,119.00
2011-03-24,30,360.00,43160.00,121.00,117.00,117.00
2011-03-27,30,320.00,37460.00,119.00,116.00,116.00
2011-03-28,16,200.00,23050.00,116.00,115.00,115.00
2011-03-29,12,330.00,36560.00,113.00,108.00,108.00
2011-03-30,15,670.00,71510.00,108.00,105.00,105.00
2011-03-31,20,420.00,46270.00,113.00,107.00,110.00
2011-04-04,97,1080.00,119360.00,112.00,109.00,110.00
2011-04-05,8,80.00,8640.00,108.00,108.00,108.00
2011-04-06,14,140.00,15510.00,111.00,110.00,111.00
2011-04-07,63,710.00,79260.00,112.00,110.00,111.00
2011-04-10,8,100.00,11180.00,112.00,110.00,112.00
2011-04-11,53,770.00,86260.00,114.00,110.00,112.00
2011-04-13,7,130.00,14560.00,112.00,112.00,112.00
2011-04-18,21,250.00,28300.00,114.00,112.00,112.00
2011-04-19,38,460.00,51060.00,112.00,110.00,110.00
2011-04-20,38,630.00,68700.00,111.00,108.00,110.00
2011-04-21,30,1910.00,205710.00,110.00,107.00,107.00
2011-04-27,48,500.00,53560.00,115.00,105.00,112.00
2011-04-28,47,1010.00,111050.00,111.00,109.00,110.00
2011-05-02,4,40.00,4480.00,112.00,112.00,112.00
2011-05-04,5,50.00,5320.00,110.00,104.00,104.00
2011-05-05,31,330.00,34390.00,105.00,103.00,105.00
2011-05-08,9,90.00,9330.00,104.00,103.00,104.00
2011-05-09,2,120.00,12200.00,102.00,100.00,100.00
2011-05-10,51,630.00,64300.00,104.00,100.00,100.00
2011-05-11,159,1900.00,197200.00,104.00,101.00,104.00
2011-05-12,40,570.00,59520.00,106.00,104.00,104.00
2011-05-15,4,190.00,20170.00,107.00,105.00,107.00
2011-05-16,2,90.00,9700.00,108.00,107.00,108.00
2011-05-18,4,50.00,5270.00,106.00,105.00,105.00
2011-05-19,7,140.00,14980.00,107.00,107.00,107.00
2011-05-22,119,1380.00,149630.00,110.00,106.00,106.00
2011-05-23,17,250.00,26500.00,106.00,106.00,106.00
2011-05-24,92,990.00,104280.00,106.00,103.00,103.00
2011-05-25,63,770.00,81290.00,106.00,103.00,103.00
2011-05-26,7,140.00,14420.00,105.00,102.00,102.00
2011-05-30,5,50.00,5100.00,102.00,102.00,102.00
2011-05-31,2,20.00,2080.00,105.00,103.00,105.00
